The Dirty Dozen,http://ia.media-imdb.com/images/M/MV5BMTc3ODc5MzIyN15BMl5BanBnXkFtZTYwMjM5OTk4._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMTA4NjM0MzQ0NDdeQTJeQWpwZ15BbWU3MDUwMTkxMTQ@._V1_SX640_SY720_.jpg,["Kelly's Heroes", 'The Guns of Navarone', 'Where Eagles Dare', 'The Longest Day', 'A Bridge Too Far', 'The Magnificent Seven', 'Battle of the Bulge', 'The Eagle Has Landed', 'Tora! Tora! Tora!', 'The Big Red One', 'Battle of Midway', 'Battle of Britain']
Out of Africa,http://ia.media-imdb.com/images/M/MV5BNjg0ODYyMjk0MV5BMl5BanBnXkFtZTgwNzc2OTgzMTE@._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMjEwMDMyOTY1OV5BMl5BanBnXkFtZTcwMTM3MDI0Nw@@._V1_SX640_SY720_.jpg,['The Last Emperor', 'Driving Miss Daisy', 'The English Patient', 'Kramer vs. Kramer', 'Chariots of Fire', 'Terms of Endearment', 'Dances with Wolves', 'Shakespeare in Love', 'Ordinary People', 'Rain Man', 'Chicago', 'Patton']
Weird Science,http://ia.media-imdb.com/images/M/MV5BNTE2MzkxNzExM15BMl5BanBnXkFtZTgwNzIwODQxMTE@._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMTQ4NjUxODEwMF5BMl5BanBnXkFtZTcwNjk1NDAxMw@@._V1_SX640_SY720_.jpg,['Sixteen Candles', 'Pretty in Pink', "Ferris Bueller's Day Off", 'The Breakfast Club', 'Fast Times at Ridgemont High', 'Uncle Buck', 'Better Off Dead...', "St. Elmo's Fire", 'Some Kind of Wonderful', 'Say Anything...', 'Vacation', 'Planes, Trains & Automobiles']
Rosemary's Baby,http://ia.media-imdb.com/images/M/MV5BMjE3NzE4NzkyNl5BMl5BanBnXkFtZTgwNTYyODgwNzE@._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMjIwMjQyMjk3OF5BMl5BanBnXkFtZTgwMDY3NDU5MTE@._V1_SX640_SY720_.jpg,['The Exorcist', 'The Omen', 'Le locataire', 'Carrie', 'Repulsion', 'Halloween', 'Let the Right One In', 'Poltergeist', 'A Nightmare on Elm Street', 'The Fly', 'The Birds', 'Chinatown']
Psycho,http://ia.media-imdb.com/images/M/MV5BMTgzMzM3NDY0NF5BMl5BanBnXkFtZTgwNDgwNDgwNzE@._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMTQxNzU5NTY4N15BMl5BanBnXkFtZTgwMjc4MDU3MTE@._V1_SX640_SY720_.jpg,['Rear Window', 'Vertigo', 'The Shining', 'The Birds', 'North by Northwest', "One Flew Over the Cuckoo's Nest", 'The Silence of the Lambs', 'Casablanca', 'Alien', 'Citizen Kane', 'A Clockwork Orange', 'Taxi Driver']
Rebecca,http://ia.media-imdb.com/images/M/MV5BMTM5ODA4ODMzM15BMl5BanBnXkFtZTcwOTA2NTEwNA@@._V1._CR9,22,314,458_SY132_CR0,0,89,132_AL_.jpg_V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMTUwMDI5MTA3NV5BMl5BanBnXkFtZTcwOTYyNjYyNw@@._V1_SX640_SY720_.jpg,['Notorious', 'Strangers on a Train', 'Dial M for Murder', 'North by Northwest', 'Spellbound', 'Rope', 'Shadow of a Doubt', 'All About Eve', 'Vertigo', 'The Birds', 'Rear Window', 'Suspicion']
Notorious,http://ia.media-imdb.com/images/M/MV5BMTY3NTAwMjk5OV5BMl5BanBnXkFtZTgwNDU5OTQzMTE@._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMTQyMDQ5OTI2NV5BMl5BanBnXkFtZTYwMjc5NjM2._V1_SX640_SY720_.jpg,['Rebecca', 'Spellbound', 'Strangers on a Train', 'Dial M for Murder', 'Shadow of a Doubt', 'To Catch a Thief', 'Rope', 'North by Northwest', 'The Man Who Knew Too Much', 'The 39 Steps', 'The Lady Vanishes', 'Suspicion']
The Bridge on the River Kwai,http://ia.media-imdb.com/images/M/MV5BMTc2NzA0NTEwNF5BMl5BanBnXkFtZTcwMzA0MTk3OA@@._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMjE0OTg1MzgxMl5BMl5BanBnXkFtZTcwMzkxMTU4Mw@@._V1_SX640_SY720_.jpg,['Lawrence of Arabia', 'The Great Escape', 'Ben-Hur', 'Gone with the Wind', 'On the Waterfront', 'The Deer Hunter', 'Platoon', 'Butch Cassidy and the Sundance Kid', 'The Sting', 'Patton', 'Gandhi', 'Das Boot']
Doctor Zhivago,http://ia.media-imdb.com/images/M/MV5BMTkzMDk3MDA2Nl5BMl5BanBnXkFtZTgwODUxMDkxMTE@._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMTU5OTUxNTE1OV5BMl5BanBnXkFtZTcwNzk4MzMyNw@@._V1_SX640_SY720_.jpg,['A Passage to India', 'Lawrence of Arabia', "Ryan's Daughter", 'The Bridge on the River Kwai', 'Bonnie and Clyde', 'Spartacus', 'Great Expectations', 'Gone with the Wind', 'Cabaret', 'Darling', 'The Searchers', 'Cleopatra']
Stand by Me,http://ia.media-imdb.com/images/M/MV5BNDk2MTkyMTA1OF5BMl5BanBnXkFtZTcwOTc2Njk3OA@@._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BNzMyNjM0OTk4N15BMl5BanBnXkFtZTgwNDY1ODIwMjE@._V1_SX640_SY720_.jpg,['Jaws', 'Groundhog Day', 'The Sixth Sense', 'Life of Brian', 'Platoon', 'Hotel Rwanda', 'The Truman Show', 'Good Will Hunting', 'Die Hard', 'Donnie Darko', 'Back to the Future', 'Blade Runner']
Platoon,http://ia.media-imdb.com/images/M/MV5BNTU3NzY4ODY5MF5BMl5BanBnXkFtZTcwOTkzNzE1NA@@._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMTkyNDIzNjc3M15BMl5BanBnXkFtZTcwMTc1MzgxNA@@._V1_SX640_SY720_.jpg,['The Deer Hunter', 'Unforgiven', 'Apocalypse Now', 'Full Metal Jacket', 'Raging Bull', 'Rain Man', 'Dances with Wolves', 'Casino', 'Die Hard', 'No Country for Old Men', 'Rocky', 'The Bridge on the River Kwai']
Gandhi,http://ia.media-imdb.com/images/M/MV5BMTQyNTQ4MTAzNl5BMl5BanBnXkFtZTcwMjk2Njk3OA@@._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMTMzNDMxNzk2MF5BMl5BanBnXkFtZTcwMzM5ODcwNw@@._V1_SX640_SY720_.jpg,['Ben-Hur', 'Amadeus', 'The Bridge on the River Kwai', 'Lawrence of Arabia', 'Rain Man', 'Platoon', 'The Last Emperor', 'Dances with Wolves', "The King's Speech", 'Chariots of Fire', 'Gone with the Wind', 'Hotel Rwanda']
Robin Hood: Prince of Thieves,http://ia.media-imdb.com/images/M/MV5BMTg0OTg5MjExN15BMl5BanBnXkFtZTgwMjg3OTgzMTE@._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMjIwMDc1OTk2MV5BMl5BanBnXkFtZTcwMjY0NTUyNw@@._V1_SX640_SY720_.jpg,['Waterworld', 'The Bodyguard', 'First Knight', 'The Mask of Zorro', 'Entrapment', 'The Postman', 'DragonHeart', 'Tin Cup', 'Dances with Wolves', 'Robin Hood', 'Highlander', 'The Legend of Zorro']
The Goonies,http://ia.media-imdb.com/images/M/MV5BMTEyMzM3NDQyMjJeQTJeQWpwZ15BbWU4MDE4ODY0NjEx._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMjE1ODkyOTM2MV5BMl5BanBnXkFtZTgwNzc0OTUyODE@._V1_SX640_SY720_.jpg,['E.T. the Extra-Terrestrial', 'The Karate Kid', 'Who Framed Roger Rabbit', 'Honey, I Shrunk the Kids', 'Willy Wonka & the Chocolate Factory', 'The NeverEnding Story', 'Hook', 'Mrs. Doubtfire', 'Jumanji', 'The Karate Kid, Part II', 'Home Alone', 'Mary Poppins']
The Doors,http://ia.media-imdb.com/images/M/MV5BMTIxMTY4ODYwNV5BMl5BanBnXkFtZTcwODQ4NDEzMQ@@._V1._CR0,35,284,464_SX89_AL_.jpg_V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMTkzNTQ0MDU4Nl5BMl5BanBnXkFtZTYwNDI2MzEz._V1_SX640_SY720_.jpg,['Natural Born Killers', 'Born on the Fourth of July', "The Doors: When You're Strange", 'JFK', 'U Turn', 'Nixon', 'Wall Street', 'Pink Floyd The Wall', 'Any Given Sunday', 'Heaven & Earth', 'The People vs. Larry Flynt', 'Fear and Loathing in Las Vegas']
Roman Holiday,http://ia.media-imdb.com/images/M/MV5BMTg1ODgzODA1Nl5BMl5BanBnXkFtZTcwNTI0MzU3Mg@@._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMTQ2NDA2ODgzN15BMl5BanBnXkFtZTcwMDk0ODcxNA@@._V1_SX640_SY720_.jpg,["Breakfast at Tiffany's", 'Sabrina', 'Funny Face', 'Charade', 'How to Steal a Million', 'Gone with the Wind', 'The Best Years of Our Lives', 'It Happened One Night', 'Some Like It Hot', 'High Noon', "Singin' in the Rain", 'All About Eve']
Rope,http://ia.media-imdb.com/images/M/MV5BMjE2NjM0MzEwNV5BMl5BanBnXkFtZTYwODkxNDU2._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMTU2ODkzMDE0OF5BMl5BanBnXkFtZTgwMzA5NTIwMjE@._V1_SX640_SY720_.jpg,['Dial M for Murder', 'The Man Who Knew Too Much', 'Strangers on a Train', 'The Birds', 'Rear Window', 'Shadow of a Doubt', 'Vertigo', 'North by Northwest', 'Rebecca', 'Notorious', 'To Catch a Thief', 'Saboteur']
The Thing,http://ia.media-imdb.com/images/M/MV5BNTQ5ODU0NjUwOV5BMl5BanBnXkFtZTgwOTcwNDgwNzE@._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMjMyNzc0MTI0NV5BMl5BanBnXkFtZTcwNTc4MTI2NQ@@._V1_SX640_SY720_.jpg,['The Thing', 'Alien', 'Aliens', 'Blade Runner', 'Escape from New York', 'Halloween', 'Jaws', 'They Live', 'The Terminator', 'Big Trouble in Little China', 'Die Hard', 'The Shining']
The Silence of the Lambs,http://ia.media-imdb.com/images/M/MV5BMTQ2NzkzMDI4OF5BMl5BanBnXkFtZTcwMDA0NzE1NA@@._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMTQ5MzI5NDY3Nl5BMl5BanBnXkFtZTcwNTkwNjM5NA@@._V1_SX640_SY720_.jpg,['Se7en', 'Forrest Gump', 'Fight Club', 'The Green Mile', 'Pulp Fiction', 'The Matrix', 'American History X', 'Gladiator', 'The Lord of the Rings: The Return of the King', "Schindler's List", 'The Lord of the Rings: The Two Towers', 'Saving Private Ryan']
The Conversation,http://ia.media-imdb.com/images/M/MV5BMjY0NjYzNjkwNF5BMl5BanBnXkFtZTcwNTk3MzU3Mg@@._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMjAzNTQ0NTk0OV5BMl5BanBnXkFtZTcwODEyNTUyNg@@._V1_SX640_SY720_.jpg,['The French Connection', "All the President's Men", 'Marathon Man', 'Easy Rider', 'Midnight Cowboy', 'Three Days of the Condor', 'The King of Comedy', 'Chinatown', 'Dog Day Afternoon', 'Bonnie and Clyde', 'Mean Streets', 'Blue Velvet']
Terminator 2: Judgment Day,http://ia.media-imdb.com/images/M/MV5BMTI4MDAwMDY3N15BMl5BanBnXkFtZTcwODIwMzMzMQ@@._V1._CR46,1,342,473_SY132_CR3,0,89,132_AL_.jpg_V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMTU5MzA5NjQwMF5BMl5BanBnXkFtZTcwOTA4MTc4Mw@@._V1_SX640_SY720_.jpg,['The Terminator', 'Back to the Future', 'Die Hard', 'Terminator 3: Rise of the Machines', 'Raiders of the Lost Ark', 'Jurassic Park', 'The Matrix', 'Alien', 'Indiana Jones and the Last Crusade', 'Star Wars: Episode V - The Empire Strikes Back', 'Aliens', 'Star Wars: Episode IV - A New Hope']
Lethal Weapon,http://ia.media-imdb.com/images/M/MV5BMTU1MDMzOTcxNV5BMl5BanBnXkFtZTcwNDY5NjQyMQ@@._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMTk3NjE5ODIzNV5BMl5BanBnXkFtZTcwODI0OTkzNQ@@._V1_SX640_SY720_.jpg,['Lethal Weapon 2', 'Lethal Weapon 3', 'Lethal Weapon 4', 'Ransom', 'Payback', 'Maverick', 'Beverly Hills Cop', 'Conspiracy Theory', 'Beverly Hills Cop II', 'What Women Want', 'Speed', 'Die Hard 2']
Vertigo,http://ia.media-imdb.com/images/M/MV5BNzY0NzQyNzQzOF5BMl5BanBnXkFtZTcwMTgwNTk4OQ@@._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMTQwMTQwMTAxM15BMl5BanBnXkFtZTcwNTM4NTM2Nw@@._V1_SX640_SY720_.jpg,['Rear Window', 'North by Northwest', 'Psycho', 'Citizen Kane', 'The Birds', 'Dial M for Murder', 'Casablanca', 'Sunset Blvd.', "Singin' in the Rain", 'Strangers on a Train', 'Rope', 'The Man Who Knew Too Much']
Back to the Future,http://ia.media-imdb.com/images/M/MV5BMjA5NTYzMDMyM15BMl5BanBnXkFtZTgwNjU3NDU2MTE@._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMjA4MzI0NzI3MF5BMl5BanBnXkFtZTcwOTc4Mzg0OQ@@._V1_SX640_SY720_.jpg,['Back to the Future Part II', 'Raiders of the Lost Ark', 'Back to the Future Part III', 'Jurassic Park', 'Terminator 2: Judgment Day', 'Star Wars: Episode IV - A New Hope', 'Star Wars: Episode V - The Empire Strikes Back', 'Indiana Jones and the Last Crusade', 'Star Wars: Episode VI - Return of the Jedi', 'The Matrix', 'The Lord of the Rings: The Fellowship of the Ring', 'The Lord of the Rings: The Two Towers']
Beverly Hills Cop,http://ia.media-imdb.com/images/M/MV5BNzMyMjQ2OTEwOF5BMl5BanBnXkFtZTgwNzc2OTkwMDE@._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMjAxNjk4ODUyOF5BMl5BanBnXkFtZTcwODU1MjA3NA@@._V1_SX640_SY720_.jpg,['Beverly Hills Cop II', 'Beverly Hills Cop III', 'Coming to America', 'Trading Places', '48 Hrs.', 'Lethal Weapon', 'Lethal Weapon 2', 'Another 48 Hrs.', 'The Nutty Professor', 'Lethal Weapon 3', 'The Golden Child', 'Police Academy']
Backdraft,http://ia.media-imdb.com/images/M/MV5BMTY2NTI5ODIwOV5BMl5BanBnXkFtZTcwMDI2ODMzMQ@@._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BNDU1OTc0NjMwN15BMl5BanBnXkFtZTcwMjAyNTgwMw@@._V1_SX640_SY720_.jpg,['Executive Decision', 'Tombstone', 'Cop Land', 'Ransom', 'The Fan', 'Tango & Cash', 'Cape Fear', 'Young Guns', 'Breakdown', 'Unlawful Entry', 'Midnight Run', 'Tequila Sunrise']
The Lost Boys,http://ia.media-imdb.com/images/M/MV5BMjE2NTAxNDM5OV5BMl5BanBnXkFtZTgwMjg0NzQxMTE@._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BODg3NTc1OTczMV5BMl5BanBnXkFtZTgwMTg1NTk2MDE@._V1_SX640_SY720_.jpg,['Fright Night', 'Gremlins', 'An American Werewolf in London', 'Poltergeist', 'Interview with the Vampire: The Vampire Chronicles', 'The Fly', 'Creepshow', 'A Nightmare on Elm Street', 'Carrie', 'The Howling', 'Hellraiser', 'Dracula']
Blade Runner,http://ia.media-imdb.com/images/M/MV5BMTA4MDQxNTk2NDheQTJeQWpwZ15BbWU3MDE2NjIyODk@._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMjE1MzI3NzI0Nl5BMl5BanBnXkFtZTcwNDE1MzU1MQ@@._V1_SX640_SY720_.jpg,['Alien', '2001: A Space Odyssey', 'Aliens', 'The Thing', 'Die Hard', 'Apocalypse Now', 'The Terminator', 'Terminator 2: Judgment Day', 'Full Metal Jacket', 'The Shining', 'Raiders of the Lost Ark', 'The Big Lebowski']
Tootsie,http://ia.media-imdb.com/images/M/MV5BMTcxNTQ0ODE0OV5BMl5BanBnXkFtZTcwNzc1Mjk3OA@@._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMTQxNDAwODM1OF5BMl5BanBnXkFtZTcwMDQwNzEzNA@@._V1_SX640_SY720_.jpg,['Kramer vs. Kramer', 'The Graduate', 'Midnight Cowboy', 'M.A.S.H.', 'Bonnie and Clyde', 'Marathon Man', 'Little Big Man', "All the President's Men", 'Rain Man', 'A Fish Called Wanda', 'Three Days of the Condor', 'Frances']
Fatal Attraction,http://ia.media-imdb.com/images/M/MV5BMTcyODA3NjcxMl5BMl5BanBnXkFtZTcwOTY1NTk3OA@@._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMTQxNjU2Mzk4OV5BMl5BanBnXkFtZTcwOTY2MDgzNw@@._V1_SX640_SY720_.jpg,['Basic Instinct', 'Disclosure', 'The War of the Roses', 'The Jewel of the Nile', 'Romancing the Stone', 'A Perfect Murder', 'Indecent Proposal', 'Falling Down', 'Unfaithful', 'Wall Street', 'Black Rain', 'Nine 1/2 Weeks']
Point Break,http://ia.media-imdb.com/images/M/MV5BMTIwNTk1MTgxMF5BMl5BanBnXkFtZTcwODI4NDUzMQ@@._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMTg2NTY3NDgwOV5BMl5BanBnXkFtZTcwNjg3NjI5NA@@._V1_SX640_SY720_.jpg,['Road House', 'Point Break', 'Speed', 'Ghost', "Bill & Ted's Bogus Journey", "Bill & Ted's Excellent Adventure", 'The Last Boy Scout', 'Chain Reaction', 'Johnny Mnemonic', 'Lethal Weapon', 'Dirty Dancing', 'Predator']
Deliverance,http://ia.media-imdb.com/images/M/MV5BMTA0MjAyNjY5MDReQTJeQWpwZ15BbWU4MDU5ODI3NTAx._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMTg4MjM2MDM0OF5BMl5BanBnXkFtZTcwNTM1NDkwNw@@._V1_SX640_SY720_.jpg,['Easy Rider', 'Straw Dogs', 'Southern Comfort', 'Bonnie and Clyde', 'Dirty Harry', 'Midnight Cowboy', 'Close Encounters of the Third Kind', 'The French Connection', 'Marathon Man', 'The Mean Machine', 'Smokey and the Bandit', 'M.A.S.H.']
Thelma & Louise,http://ia.media-imdb.com/images/M/MV5BMjIxNDgzMDE2MF5BMl5BanBnXkFtZTcwNzY5NTk1NA@@._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BOTE2NzQ5MDQxMF5BMl5BanBnXkFtZTcwNTg4MjM3NA@@._V1_SX640_SY720_.jpg,['Black Rain', 'Dead Man Walking', 'G.I. Jane', 'The Mexican', 'Seven Years in Tibet', 'Kalifornia', 'Sleepers', 'Erin Brockovich', "The Devil's Own", 'The Fugitive', 'Legends of the Fall', 'Interview with the Vampire: The Vampire Chronicles']
Risky Business,http://ia.media-imdb.com/images/M/MV5BMTg1NDc4NDkzNF5BMl5BanBnXkFtZTYwMTQyNTg4._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMTU0NzYxNDMyNl5BMl5BanBnXkFtZTcwMjU0NTUyNw@@._V1_SX640_SY720_.jpg,['Cocktail', 'Days of Thunder', 'Born on the Fourth of July', 'The Firm', 'Jerry Maguire', 'All the Right Moves', 'Top Gun', 'The Color of Money', 'Far and Away', 'The Outsiders', 'A Few Good Men', 'Taps']
Mad Max 2,http://ia.media-imdb.com/images/M/MV5BMTcxMDUyODY1OF5BMl5BanBnXkFtZTYwOTQzNDk4._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMjMxMDQxMDAyN15BMl5BanBnXkFtZTgwMzcxMTM2NTE@._V1_SX640_SY720_.jpg,['Mad Max', 'Mad Max Beyond Thunderdome', 'Lethal Weapon', 'Total Recall', 'RoboCop', 'Predator', 'Lethal Weapon 2', 'Lethal Weapon 3', 'Escape from New York', 'Mad Max: Fury Road', 'Planet of the Apes', 'Lethal Weapon 4']
Top Gun,http://ia.media-imdb.com/images/M/MV5BMTY3ODg4OTU3Nl5BMl5BanBnXkFtZTYwMjI1Nzg4._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMjI1MTcwNjY3NF5BMl5BanBnXkFtZTgwMDE2NDMwMjE@._V1_SX640_SY720_.jpg,['Jerry Maguire', 'A Few Good Men', 'Days of Thunder', 'Cocktail', 'Mission: Impossible', 'The Firm', 'Rain Man', 'Risky Business', 'Jack Reacher', 'Collateral', 'Knight and Day', 'Mission: Impossible II']
Saturday Night Fever,http://ia.media-imdb.com/images/M/MV5BMTU0NDk4MzA0NV5BMl5BanBnXkFtZTcwOTYwODIyMQ@@._V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMTk2NjQzNDA2MF5BMl5BanBnXkFtZTcwNjk3MDM2OQ@@._V1_SX640_SY720_.jpg,['Grease', 'Staying Alive', 'Flashdance', 'Footloose', 'Dirty Dancing', "Look Who's Talking", 'The Boy in the Plastic Bubble', 'Urban Cowboy', 'Phenomenon', 'Ghost', "Look Who's Talking Too", 'Hairspray']
Friday the 13th,http://ia.media-imdb.com/images/M/MV5BOTYzNDkwNTA1NF5BMl5BanBnXkFtZTcwMjIyNDAyMQ@@._V1._CR11,0,320,432_SY132_CR4,0,89,132_AL_.jpg_V1_SX300.jpg,http://ia.media-imdb.com/images/M/MV5BMTM1OTAxNzMyNF5BMl5BanBnXkFtZTcwMjI3MTgwNA@@._V1_SX640_SY720_.jpg,['Friday the 13th Part 2', 'A Nightmare on Elm Street', 'Friday the 13th Part III', 'Halloween', 'Friday the 13th: The Final Chapter', 'The Texas Chain Saw Massacre', 'Jason Lives: Friday the 13th Part VI', 'A Nightmare on Elm Street 3: Dream Warriors', 'Halloween II', 'Scream', 'Poltergeist', 'Carrie']
